zpid,price,street,city,state,zipcode,beds,baths,area,latitude,longitude,home_type,tax_assessed_value,lot_area_value,days_on_zillow
70312351,229700,13219 Forest Pines Village Ln,Houston,TX,77067,3.0,3.0,2358.0,29.960323,-95.43068,SINGLE_FAMILY,269286.0,2561.328,126
27942887,180000,5847 Southington St,Houston,TX,77033,3.0,3.0,1597.0,29.680464,-95.33293,SINGLE_FAMILY,215275.0,7819.02,0
28093352,629999,11211 Timberline Rd,Houston,TX,77043,4.0,3.0,2243.0,29.79255,-95.581604,SINGLE_FAMILY,373054.0,9252.144,39
27983296,269000,938 Marleen St,Houston,TX,77034,3.0,2.0,1625.0,29.651548,-95.23703,SINGLE_FAMILY,224284.0,8049.888,1
27999926,1245000,11702 Denise Dr,Houston,TX,77024,4.0,3.0,2136.0,29.779835,-95.52839,SINGLE_FAMILY,1020000.0,0.2925,47
27762633,610000,113 E 4th St,Houston,TX,77007,2.0,1.0,1092.0,29.77803,-95.39662,SINGLE_FAMILY,504429.0,4399.56,5
28165562,310000,18018 Bambriar Dr,Houston,TX,77090,5.0,3.0,2678.0,30.029427,-95.4622,SINGLE_FAMILY,268105.0,8999.496,21
27778253,519000,711 Archer St,Houston,TX,77009,2.0,2.0,1482.0,29.797953,-95.37408,SINGLE_FAMILY,555310.0,5000.688,11
123231244,695000,1808 Vermont St,Houston,TX,77006,3.0,4.0,2791.0,29.74935,-95.4017,SINGLE_FAMILY,670193.0,1833.876,54
80541171,359900,18210 Bayou Branch Dr,Houston,TX,77084,5.0,3.0,3655.0,29.822445,-95.68249,SINGLE_FAMILY,406948.0,6490.44,32
28297456,335000,12923 Skymeadow Dr,Houston,TX,77082,3.0,3.0,2081.0,29.726591,-95.61448,SINGLE_FAMILY,272261.0,7274.52,12
27753579,560000,2119 Carter St,Houston,TX,77008,3.0,2.0,1386.0,29.80633,-95.38969,SINGLE_FAMILY,583515.0,5000.688,10
28435596,595000,18026 Widcombe Dr,Houston,TX,77084,5.0,5.0,4274.0,29.83776,-95.67731,SINGLE_FAMILY,549032.0,9726.948,7
